,Unnamed: 0,id,comment_text,target
100,100,603869,"The fact that PBS turned to NcR, which has been condemned by it's bishop, for reflections on anything Catholic, tells you the problem with PBS, and with the liberal media in general.",0.0
101,101,1067085,Then why didn't he just say that he did have contact with the Russian ambassador during his testimony.,0.0
102,102,6202937,"Talk about stupid!  A felony with a firearm and a pistol whipping.  In a yellow Humvee.  Followed by two more firearm felonies.  This is not kids being kids.  This is Darwinism at work. The car needs to be seized, at least for evidence.  The driver needs jail no bail.  The pistol whipper needs jail no bail.  Unacceptable behavior requires incarceration.  Anybody bailed out should be required to wear an ankle bracelet.  Everybody involved should lose the right to own or possess a firearm forever.",0.6923076923076922
103,103,5525067,Ridiculous.,0.6
104,104,5976414,"Whoa mule !  The mx move from Wpg to Mtl happened gradually in the 50s and 60s.  And it made sense then. The shiny new mx facility for DC8/9s and L1011s opened early 70s.  The Wpg facility remained until the formation of Air Canada Technical Services, ACTS, as a stand-alone under Mr Milton in the 90s, and then it was AVEOS until AC decided to contract out heavy mx. Dad was still working at the Wpg base when he retired in 1976.",0.0
105,105,5163840,"I too have ancestors. My father was an oppressed black gay man in Trinidad where it was not safe to be gay.  He married my mother who was an Indian (of what sub-tribe we in the family could never discern) lesbian from Jamaica. They married and moved to Cuba to escape prejudice and liven in a Worker's Paradise. I was born physically challenged - no legs - due to a birth defect on my father's side and have Asian features as the result of a recessive gene. I am transgender. I tell you all this so you will understand that I too want Prince Harry to repent and admit that as a white man who speaks good English, he is by definition the enemy of all people with ugly minds named den-hiss, all non-white people whether they are ugly, named dennis, sherry hidustinci ' or even just Jamal Oblatiwhatsinslurkinginaninanename and have relatives going back 5,000 years who are all female. Gay. Indigenous. Incensed. So racist against white people so not really racist.  Correct SJW Denis and PC Hini-Hindi?",0.5
106,106,6154178,"When I heard the dimwits on 9News repeatedly say this game was in the bag, a sure thing, I knew we were doomed.",0.6
107,107,5449476,Soon Sunny Days Boy will canvassing for Club Med style rest homes for convicted miscreants !,0.0
108,108,5880666,Not Cute or funny to have ANYTHING around looking like Bombs. Bad Bad Bad. Some devious person Could slip a real one in between.,0.0
109,109,5310243,"They didn't ""choke"". The last game went into 2OT in the last game of the series. 
That isn't choking. 
Please look up that word.",0.1666666666666666
110,110,421848,"Much of it is caused by distracted drivers.  As a pedestrian, I see it all the time.  Cars only looking at the lane they're going into and not the one they're in.  Pedestrians in crosswalks are  invisible to many drivers.  I've actually been hit in a crosswalk by a car turning left at less than 10mph.  I wasn't hurt but the girl driving obviously wasn't paying attention.  I've also seen a father with a stroller almost get hit entering a crosswalk by a car racing to get on Beltline.  It's not a ""car culture"" problem.  It's a bad driver problem.",0.0
111,111,6118791,thank you,0.0
112,112,5057301,It  may be that evidence of FBI/CIA/NSA covert activity regarding Trump has been supplied to Trump by the FSB/GRU ... who may have moles in the US security apparatus.,0.1666666666666666
113,113,5307175,"If no level of carbon taxes will lower your ""consumption in a meaningful way"", why fret about them.",0.0
114,114,5997348,The suspect is described as African-American. Third one in the last few days. It's tough on the small African American community in Hawaii.,0.0
115,115,6186046,I'm sorry to hear about your son.,0.0
116,116,5543088,"Preposterous nonsense. To take a single example, the return on public education is enormous. Before universal public education, the illiteracy rate tended to be 80-90%. Imagine trying to run a modern economy with 80% illiteracy.",0.3
117,117,514296,Ummm... did I trigger you by bringing up the emails?  Is that why my comment was removed?,0.0
118,118,6320510,I welcome and look forward to a sovereign debt downgrade.   It will hurt many of us short term but remembering 1987 it is the jolt to the system that changes things.,0.0
119,119,5081803,"""I worked for the Smithsonian Astrophysical Observatory - have any idea where that is located?""

Your answer -no. Whether you believe it or not is of little concern to me.",0.0
120,120,5312649,Canada needs to wake up and start banning foreign funded political action organizations like BLM. as other countries are doing.,0.0
121,121,6293683,"Xavier:  hey, buddy, I'm 75.........so many letters......so little time.......cheers, Gary Crum",0.0
122,122,6309020,"So do you think the majority of voters are clued in, informed, and educated?",0.0
123,123,5904684,Do we have a shortage of laws?,0.0
124,124,327551,"Next year, the Federal government stops funding Medicaid expansion 100%
Where are we supposed to get the money?

I have seen many a rabid leftist decry the lawsuit but none have been able to answer that question.",0.0
125,125,6135154,Malarkey. It is being sabotaged exactly because the predicted collapse hasn't taken place. And there will be many people who will ensure that Mr Turnip and his wrecking crew get all the credit they deserve.,0.0
126,126,5484425,"No. Obamacare isn’t killing the insurance industry.
https://www.healthinsurance.org/blog/2016/03/01/no-obamacare-isnt-killing-the-insurance-industry/",0.0
127,127,5652272,"Nobody cares about anybody's religion while they keep it in the background, behind closed doors. As Trudeau does, as harper did. But when a party like the WildRose had candidates who talked openly about 'lake of fire' for gays then it's not just 'the left' who objects, it's most Albertans and  Canadians. Remember that?
So what's your point, bagman?",0.3
128,128,4990962,"Part of our desire to convince ourselves that we are not prejudiced is a self-affirmation. I doubt you are conscious of what you notice first. For instance, if you saw a young man in a logoed hoodie, baseball cap and baggy pants, it would be difficult for you to register and evaluate that sartorial detail before you noticed his skin colour. Just sayin'.",0.0
129,129,5595330,Shouldn't the head line read      Tries to sell,0.0
130,130,6009817,That's puzzling. You seem to be saying that no one in the Special Counsel's office took any notes on interviews or phone calls related to the dossier.,0.0
131,131,5674440,"Braddah - Everybody knows that Esq, RS, LesterP, Notch, Eloise, Milan Beck - and who knows who else - are all the same person.",0.0
132,132,5315668,"Actually Trump lost the vote, by 3 million. Slithering in via the Electoral College was a bad day for democracy in the USA. France can teach them how to run a Presidential Election.",0.0
133,133,5185006,"Betrayal is definitely the operative word in the title of Ramphele's latest book and the reviewer is right, those of us who supported Mamphela's Agang initiative do feel very let down by her.  But the real villain of Agang's sorry demise is the person who is the so-called leader of a now non-existent party, Andries Tlouamma, who together with an unknown Koekoe Mahumapelo, continues to rake in his parliamentary salary and benefits.  How can that be when Agang is today a party which exists in name only and solely for their benefit?  And no one, not parliament, not the IEC and not the SA media is interested in the matter.  It's also surprising that Mamphela says nothing in the book about the person Tlouamma used to oust Mamphela, the party's then Chairperson, Mike Tshishonga.  Mike, who later saw the error of his ways but too late, also betrayed Ramphele.  There is much more that can and should be told about the Agang debacle which it seems Mamphela is reluctant to do.",0.0
134,134,5083880,"Legitimate Mexican refugees?

Now there is a true oxymoron!",0.2
135,135,5941529,It's funny how some people see Defence as an add on to tax policy as opposed to the first or second priority of government.,0.0
136,136,897963,"What do those Elections Act related convictions have to do with other political parties taking responsibility for the theft of taxpayer funds that occurred under Jean Chretien's Liberals for the benefit of the Liberal Party of Canada?

You'll have us back in the Garden of Eden if you don't stay on topic.",0.0
137,137,5984010,"Not their job to police what people eat or drink......unless you are a Progressive, In which case it becomes the shop owners duty. No more liberty, free will or choice.",0.0
138,138,836365,"The largest sized vessel that can dock in Vancouver is an Aframax, which can carry 500,000 to 700,000 barrels. Vessels at the port can only be loaded up to 80% due to depth and other restrictions, meaning a vessel can only be filled to around 550,000 barrels. That's a stark contrast to one million barrel Suezmaxes, or the two million very large carriers (VLCCs) commonly used to ship crude oil from Saudi Arabia, the Middle East and African countries to Asia and other countries around the world, including Canada (e.g. The Irving Oil refinery in N.B.). Most vessels that currently load in Vancouver go to refineries in Washington State, California or Hawaii. Traders said the price of Canadian crude shipped to Asia needs to be low enough to offset the cost of shipping across the Pacific on smaller vessels. They also note many Asian refiners prefer Iraqi crude due to lower acidity.
(source: Canada oil sands Asia export dream faces port bottleneck, GulfNews.com)",0.0
139,139,301557,"There are two of us. We pay about $200/mo. Before the ACA we did not have access to individual insurance, as in, Blue Cross declined to sell it to us. We could not buy it at any cost.",0.0
140,140,967387,"As an economically stagnant city in a have-not province, Winnipeg is pretty much irrelevant in the context of population growth in Canada.   When Winnipeg has growth rates in excess of 10% like cities in Saskatchewan, BC and Alberta, it will get included in articles.",0.0
141,141,5958567,"First, improve your grammar. The headline should be 'as I do', not 'as me'.  I would not hire her for this reason alone.",0.0
142,142,845084,"Keith was a discriminating customer, a role model for those who want to keep living. He wouldn't have used this street trash.",0.5
